datesold,price,building_year,bedrooms,postcode,area
01-July-2019,324900,1947,2,2607,Torrens
01-July-2019,883900,2014,4,2602,Dickson
01-July-2019,858100,1963,5,2617,Bruce
01-July-2019,848500,2000,3,2602,Hackett
01-July-2019,794100,1989,4,2614,Cook
01-July-2019,739800,1977,4,2607,Isaacs
01-July-2019,751500,1977,4,2906,Banks
01-July-2019,683100,1995,3,2615,Charnwood
01-July-2019,663100,1977,4,2902,Kambah
01-July-2019,646900,1996,4,2905,Richardson
01-July-2019,598100,1926,3,2902,Kambah
01-July-2019,608400,1979,4,2615,Macgregor
01-July-2019,610100,1962,4,2903,Erindale Centre
01-July-2019,807138,1973,4,2602,Hackett
01-July-2019,546000,1991,3,2905,Bonython
01-July-2019,543800,2003,3,2614,Scullin
01-July-2019,540000,1990,3,2615,Kippax
01-July-2019,510300,1991,3,2615,Holt
01-July-2019,500800,1926,3,2904,Macarthur
01-July-2019,480800,1969,3,2906,Conder
01-July-2019,476700,1988,3,2906,Gordon
01-July-2019,479400,1968,4,2615,Melba
01-July-2019,572800,1994,3,2913,Ginninderra Village
01-July-2019,458000,1977,3,2906,Gordon
01-July-2019,426300,1977,3,2906,Banks
01-July-2019,347000,2007,3,2914,Amaroo
02-July-2019,571100,1977,3,2903,Erindale Centre
02-July-2019,923100,2007,5,2913,Nicholls
02-July-2019,753200,1998,4,2905,Chisholm
02-July-2019,548200,1978,4,2615,Kippax Centre
02-July-2019,651400,1927,4,2914,Bonner
02-July-2019,546200,1969,4,2615,Macgregor
02-July-2019,543700,2001,3,2617,Kaleen
02-July-2019,546700,1984,2,2611,Waramanga
02-July-2019,506600,1924,3,2617,Lawson
02-July-2019,474800,1985,3,2615,Kippax Centre
02-July-2019,417700,2014,3,2902,Kambah
02-July-2019,555200,1990,3,2905,Theodore
03-July-2019,633100,1922,3,2617,Bruce
03-July-2019,1061400,1964,4,2603,Forrest
03-July-2019,831700,1990,5,2615,Fraser
03-July-2019,836600,1922,4,2617,Kaleen
03-July-2019,778700,1998,5,2911,Crace
03-July-2019,745800,2005,4,2913,Ginninderra Village
03-July-2019,677700,1990,4,2913,Ginninderra Village
03-July-2019,644000,1954,4,2902,Kambah
03-July-2019,581700,1968,3,2614,Scullin
03-July-2019,612900,1977,3,2615,Kippax
03-July-2019,436400,1972,3,2615,Melba
03-July-2019,542300,1990,3,2615,Kippax Centre
03-July-2019,554300,1988,3,2913,Ginninderra Village
03-July-2019,625500,1968,3,2611,Uriarra
03-July-2019,571900,1916,3,2913,Nicholls
03-July-2019,541900,1985,3,2602,O'connor
04-July-2019,549400,1991,3,2615,Charnwood
04-July-2019,577600,1926,4,2902,Kambah
04-July-2019,602700,1984,3,2911,Mitchell
04-July-2019,667100,1992,3,2606,O'malley
04-July-2019,656700,1996,3,2617,Giralang
04-July-2019,707100,1963,2,2602,Watson
04-July-2019,892700,1973,3,2602,Ainslie
04-July-2019,865000,1984,3,2602,Watson
04-July-2019,596900,1992,3,2912,Administrative
05-July-2019,843700,1919,4,2914,Bonner
05-July-2019,783000,1939,4,2614,Hawker
05-July-2019,756500,2007,5,2615,Spence
05-July-2019,686100,1973,4,2615,Florey
05-July-2019,464700,1950,2,2905,Gilmore
05-July-2019,449800,1967,3,2906,Conder
05-July-2019,435000,1987,2,2615,Latham
05-July-2019,599200,1962,4,2903,Wanniassa
06-July-2019,577250,1954,3,2903,Wanniassa
06-July-2019,638200,1983,3,2607,Torrens
06-July-2019,860100,1973,4,2615,Kippax
06-July-2019,1099000,1996,5,2913,Ginninderra Village
08-July-2019,1178400,2014,5,2913,Nicholls
08-July-2019,855000,1988,3,2602,Dickson
08-July-2019,822600,1988,5,2904,Gowrie
08-July-2019,615600,2014,4,2905,Calwell
08-July-2019,628300,1980,3,2905,Gilmore
08-July-2019,476500,1988,3,2906,Conder
08-July-2019,573500,1967,4,2615,Dunlop
08-July-2019,469300,1991,3,2906,Gordon
08-July-2019,458500,1999,3,2906,Gordon
08-July-2019,564200,1926,3,2904,Gowrie
09-July-2019,657500,1992,3,2905,Gilmore
09-July-2019,1002800,1959,4,2913,Nicholls
09-July-2019,625300,1979,4,2615,Latham
09-July-2019,666900,1979,3,2615,Florey
09-July-2019,538900,2007,2,2612,Campbell
09-July-2019,603500,1996,4,2905,Isabella Plains
09-July-2019,527400,1975,3,2614,Page
09-July-2019,484600,1967,3,2615,Higgins
10-July-2019,448600,1990,3,2905,Isabella Plains
10-July-2019,617300,1985,4,2611,Fisher
10-July-2019,626700,2014,4,2905,Richardson
10-July-2019,742700,1920,4,2617,Belconnen Dc
10-July-2019,798600,2007,4,2914,Harrison
10-July-2019,1183500,1984,3,2606,Swinger Hill
11-July-2019,638200,1991,3,2615,Florey
11-July-2019,796800,1988,4,2914,Harrison
11-July-2019,465600,1982,3,2602,Downer
12-July-2019,551900,1991,3,2905,Gilmore
12-July-2019,609000,1966,3,2615,Macgregor
12-July-2019,640500,1966,4,2611,Waramanga
13-July-2019,1458500,1966,3,2612,Braddon
15-July-2019,571600,1991,4,2615,Kippax Centre
15-July-2019,808100,1994,3,2606,O'malley
15-July-2019,823900,2000,3,2602,Watson
15-July-2019,889200,1988,5,2913,Ginninderra Village
16-July-2019,568800,1916,4,2617,Evatt
16-July-2019,1383400,2014,3,2605,Hughes
16-July-2019,620600,1993,4,2904,Monash
16-July-2019,575400,1973,3,2614,Hawker
16-July-2019,564600,1977,3,2903,Oxley
16-July-2019,479000,1975,3,2905,Gilmore
16-July-2019,439600,2008,3,2914,Forde
16-July-2019,418500,1987,2,2615,Charnwood
17-July-2019,981900,1908,4,2605,Garran
17-July-2019,813100,1987,4,2913,Nicholls
17-July-2019,660300,2014,4,2615,Spence
17-July-2019,608100,1924,3,2617,Belconnen Dc
17-July-2019,613800,2003,3,2913,Palmerston
17-July-2019,697900,1929,4,2914,Forde
17-July-2019,568500,1967,4,2615,Fraser
17-July-2019,535700,1957,3,2611,Weston
17-July-2019,548200,1988,3,2913,Ginninderra Village
17-July-2019,486500,1969,3,2615,Spence
17-July-2019,599400,2001,3,2904,Monash
18-July-2019,592500,1989,3,2905,Calwell
18-July-2019,616200,1959,4,2615,Spence
18-July-2019,688700,1922,4,2617,Belconnen
18-July-2019,741300,1997,3,2607,Torrens
18-July-2019,894800,1988,4,2913,Ginninderra Village
19-July-2019,713100,1995,5,2607,Pearce
19-July-2019,765200,1948,4,2914,Forde
19-July-2019,1148300,2000,5,2614,Page
19-July-2019,664000,1996,3,2617,Mckellar
19-July-2019,492800,1970,2,2615,Higgins
19-July-2019,603300,1975,4,2906,Banks
19-July-2019,461100,1985,3,2906,Gordon
19-July-2019,603400,1973,4,2615,Fraser
19-July-2019,590100,1926,4,2903,Erindale Centre
20-July-2019,850400,1990,4,2615,Holt
20-July-2019,503500,1940,3,2617,Evatt
20-July-2019,557200,1990,3,2913,Palmerston
20-July-2019,638700,1922,3,2617,Bruce
20-July-2019,693900,2007,4,2905,Theodore
20-July-2019,725300,1906,3,2605,Garran
20-July-2019,785000,1988,4,2614,Hawker
22-July-2019,688000,1983,3,2614,Weetangera
22-July-2019,669500,1977,4,2906,Gordon
22-July-2019,644700,1980,2,2607,Farrer
22-July-2019,556900,2001,3,2904,Macarthur
22-July-2019,590900,1973,3,2614,Scullin
22-July-2019,523800,1926,3,2914,Forde
22-July-2019,594200,1935,4,2615,Dunlop
23-July-2019,687100,2014,5,2905,Isabella Plains
23-July-2019,762000,1910,4,2914,Harrison
23-July-2019,703200,1918,4,2914,Amaroo
23-July-2019,907000,1984,4,2913,Franklin
23-July-2019,617800,1992,3,2914,Harrison
23-July-2019,594800,1946,3,2913,Ginninderra Village
23-July-2019,439100,2014,2,2913,Palmerston
23-July-2019,426200,1926,4,2914,Amaroo
23-July-2019,670500,1977,4,2903,Wanniassa
24-July-2019,482600,1976,3,2906,Conder
24-July-2019,523000,1990,3,2905,Isabella Plains
25-July-2019,1126000,1906,3,2612,Braddon
25-July-2019,792600,1984,4,2913,Nicholls
25-July-2019,783600,1993,4,2607,Farrer
25-July-2019,722100,1991,3,2602,Downer
25-July-2019,633900,1966,3,2615,Dunlop
25-July-2019,475900,1992,3,2913,Ginninderra Village
25-July-2019,415100,1983,2,2913,Franklin
25-July-2019,545700,1969,3,2906,Gordon
26-July-2019,441400,1978,3,2615,Flynn
26-July-2019,616100,1924,3,2617,Giralang
26-July-2019,665300,1977,4,2902,Kambah
27-July-2019,645100,1966,4,2615,Flynn
27-July-2019,608400,1997,4,2905,Calwell
27-July-2019,861300,2001,5,2905,Richardson
