request_id,yr_built,bedrooms,postcode,area,bathrooms,condition,grade,sqft_living,sqft_lot,sqft_basement,sqft_living15,sqft_lot15,waterfront,view,distance,year,prediction
7b44dba8-3372-429a-a1a2-dc59e690d38a,1910.0,1.0,600905.2496891748,600905.2496891748,1.0,3,6.0,765.0,3674.0,10.0,1449.0,4295.0,0.0,0.0,1.18,2017,323568.4089495693
21ed4e0d-5d44-48c5-9264-8becbed357e3,1966.0,4.0,483241.3277326569,473539.8325623487,2.0,4,8.0,2375.0,11524.0,90.0,2361.0,11104.0,0.0,0.0,21.12,2017,587162.6022900711
2c9675e2-3a5b-487c-9be5-9fc0db6645ac,1976.0,4.0,468060.0543995248,473598.9580796085,2.0,4,8.0,2600.0,16078.0,120.0,2329.0,15052.0,0.0,0.0,10.79,2017,608457.0488189693
49469d26-b770-4058-95ef-cb18ea9a4e0e,1990.0,4.0,597736.9217030165,675932.4355670998,3.0,3,10.0,3670.0,16308.0,590.0,3293.0,14596.0,0.0,0.0,19.73,2017,960097.8923843815
d42c3bf6-47df-43a2-8932-2efe0de297aa,1925.0,3.0,512657.41822642577,512657.41822642577,1.5,4,7.0,1410.0,5182.0,50.0,1509.0,5185.0,0.0,0.0,13.99,2017,426340.1163320629
f824db5a-1339-40f6-9912-9ace6a130a9b,1976.0,3.0,1283884.8486148424,1260241.7123737352,2.25,4,8.0,2085.0,16567.0,430.0,2752.0,14487.0,0.0,0.0,4.67,2017,1074902.1984893915
7ecf2cfd-bdf5-4531-8c85-b1e6522f76a0,1978.0,4.0,554723.8083336328,566238.286454928,2.0,4,9.0,3230.0,13091.0,70.0,3076.0,12320.0,0.0,0.0,11.04,2017,837802.1034973328
7336d7ea-f97c-4101-9395-34807b7e3347,1996.0,4.0,707747.0018370263,733154.0598420347,3.0,3,10.0,3640.0,21137.0,0.0,3540.0,20939.0,0.0,0.0,4.51,2017,829372.7693134714
6d18bc26-b915-4f34-a082-a2c7403a8db3,1987.0,4.0,537641.85801898,557953.8556806254,2.0,4,9.0,2805.0,9477.0,0.0,2709.0,8963.0,0.0,0.0,9.47,2017,723161.2402268621
97af32f8-8b08-4cbc-9333-085a1446a78e,2014.0,4.0,554723.8083336328,557405.5083370412,3.0,3,9.0,3455.0,10084.0,10.0,3321.0,9357.0,0.0,0.0,11.03,2017,777012.2338451067
562d2607-6961-4a1f-914f-54d7a1ffb089,1991.0,3.0,468060.0543995248,467450.33081558475,2.0,3,8.0,2150.0,9901.0,0.0,2177.0,9021.0,0.0,0.0,11.8,2017,496161.345419469
6a401a51-1659-4d0a-9315-279ed9f9994c,1926.0,4.0,763993.342734479,717110.8109214221,2.25,4,8.0,2360.0,5439.0,580.0,1989.0,4691.0,0.0,0.0,6.18,2017,759369.5370239064
408416c6-d478-415f-bf82-c8b17fe53a5b,1975.0,4.0,483241.3277326569,473539.8325623487,2.5,3,8.0,2450.0,8215.0,930.0,2084.0,8172.0,0.0,0.0,22.14,2017,535235.474795
fa15eb97-249f-4948-bccc-df023986f5e9,1978.0,3.0,573737.7786048551,573354.0101209884,2.0,3,8.0,2185.0,11610.0,30.0,2259.0,10779.0,0.0,0.0,9.15,2017,540170.3835805799
f9e0ccab-d586-430f-8194-99279b8239e4,1978.0,3.0,573737.7786048551,603632.3806403624,2.25,3,9.0,2375.0,12678.0,190.0,2559.0,11442.0,0.0,0.0,7.24,2017,606367.8387225991
7d9a92f5-a7ca-4712-8a13-ca156e96e838,1910.0,4.0,574729.3925746218,562650.2542819928,2.5,5,8.0,2395.0,4532.0,630.0,2008.0,4532.0,0.0,0.0,13.96,2017,722274.0640714363
879bf4db-2f98-4586-9ed9-8c18501ac883,2006.0,4.0,707747.0018370263,726350.8929052162,3.25,3,10.0,3830.0,12948.0,20.0,3649.0,9907.0,0.0,0.0,4.12,2017,910656.7894550904
ef073b39-e6aa-4e31-b284-3378a699d8fa,1966.0,4.0,597736.9217030165,579933.3324134704,2.0,4,8.0,2250.0,9814.0,40.0,2179.0,9430.0,0.0,0.0,9.27,2017,591123.0674299621
c0032eec-e4fe-4855-a152-c5a1b4c17b65,1977.0,4.0,468060.0543995248,459641.6387834404,2.0,4,8.0,2500.0,9050.0,940.0,2132.0,8734.0,0.0,0.0,13.94,2017,602736.3384467962
472e578e-18ae-4546-8974-f7ba9cf35ffa,1978.0,3.0,597736.9217030165,579933.3324134704,2.5,3,9.0,2510.0,12078.0,220.0,2622.0,11615.0,0.0,0.0,10.35,2017,621438.7664299151
074eefd4-4c43-4d58-9c3e-8374340ea716,1929.0,5.0,563377.9507828665,557266.3455574986,2.5,5,8.0,2505.0,5689.0,760.0,2077.0,5370.0,0.0,0.0,14.04,2017,733277.454105861
36b0ef02-6957-45ac-b337-6e0205daee36,1929.0,3.0,574729.3925746218,572950.1179220972,1.75,4,8.0,1700.0,3806.0,70.0,1717.0,4092.0,0.0,0.0,12.97,2017,572088.5903029367
ab28bde4-a9d4-497a-b835-c02ccc2e8b8f,1975.0,5.0,515187.232483403,520213.37866348756,2.0,3,8.0,2455.0,8299.0,910.0,2076.0,7608.0,0.0,0.0,14.92,2017,590992.1657680026
2a7e8b1c-e302-4b5a-a877-73d3e902b5f0,2014.0,5.0,483241.3277326569,483096.5702226546,3.0,3,9.0,3145.0,8630.0,30.0,2757.0,8586.727435902056,0.0,0.0,19.75,2017,707360.0269165299
0892a0b7-00e7-45f9-9ce1-40d8ba5fa7cd,1996.0,4.0,512657.41822642577,512657.41822642577,2.75,3,10.0,3110.0,14729.0,20.0,2909.0,10600.0,0.0,0.0,12.77,2017,788337.4095764073
0881bddb-bc0b-47cc-89fe-bf1c6aede32f,1997.0,4.0,1283884.8486148424,1209937.457302772,4.0,3,11.0,4555.0,21576.0,90.0,3505.0,20507.0,0.0,0.0,4.34,2017,1754404.1319754387
fd69342d-8952-4c3d-9325-f189afac7838,1967.0,3.0,573737.7786048551,573354.0101209884,2.0,3,7.0,1600.0,8352.0,270.0,1746.0,8031.0,0.0,0.0,8.07,2017,442265.03453693225
9970a615-236a-4946-8b0e-7a2451364a35,1969.0,4.0,483241.3277326569,473539.8325623487,2.0,3,8.0,2275.0,9579.0,740.0,1976.0,9305.0,0.0,0.0,21.45,2017,480374.7575769585
fbd9e6f0-2477-4fb2-9387-6e957677db44,1947.0,4.0,574729.3925746218,592196.1385002468,2.0,4,7.0,1905.0,6472.0,780.0,1786.0,5436.0,0.0,0.0,12.11,2017,616286.0130709074
