request_id,yr_built,bedrooms,postcode,area,bathrooms,condition,grade,sqft_living,sqft_lot,sqft_basement,sqft_living15,sqft_lot15,waterfront,view,distance,year,prediction
6dba2e83-ece8-4950-850b-26bdbe3b788f,2014.0,4.0,554723.8083336328,566238.286454928,3.0,3,9.0,3180.0,6098.0,10.0,2760.0,5602.0,0.0,0.0,11.72,2016,740576.7857983946
e9c5431e-5b9a-4dc6-abd7-6b279c1d49cc,1972.0,3.0,468060.0543995248,473825.0610186486,2.0,3,7.0,1760.0,6296.0,560.0,1694.0,6225.0,0.0,0.0,9.73,2016,412976.9220681013
c324f1a4-9fe6-4ab3-832c-3fbc4e3571b7,1986.0,4.0,554723.8083336328,534407.1051008193,2.0,4,9.0,2795.0,13426.0,0.0,2760.0,13107.0,0.0,0.0,12.94,2016,698439.7986613775
f0aa3ddb-ba19-4649-9c6a-e050d0e381ac,1979.0,4.0,468060.0543995248,473598.9580796085,2.5,4,8.0,2430.0,9383.0,860.0,2112.0,9577.0,0.0,0.0,10.42,2016,550642.3887386096
e24b4c37-f024-47c2-a5c3-8f0eca9b3abe,2005.0,4.0,574729.3925746218,562650.2542819928,2.0,3,8.0,2220.0,4136.0,30.0,1952.0,4140.0,0.0,0.0,14.41,2016,548954.4668991858
d61bc42a-cbd7-448f-a9ec-b7cc5515ef86,1991.0,4.0,468060.0543995248,461978.00587651605,2.5,3,8.0,2415.0,9512.0,30.0,2352.0,8961.0,0.0,0.0,13.07,2016,528834.0076631291
53cc22d5-654b-493b-930b-34c14baa3e11,2003.0,3.0,554723.8083336328,549882.8561051979,2.5,3,7.0,1600.0,4508.0,0.0,1584.0,4482.0,0.0,0.0,9.18,2016,380902.48735280184
d61ddc95-2ccb-4d0d-9cc9-5908770b5c48,2014.0,3.0,574729.3925746218,592196.1385002468,2.75,3,8.0,1640.0,1648.0,260.0,1633.0,2271.0,0.0,0.0,12.88,2016,470698.9370099117
0f97cf42-8fab-44e2-942f-df2be572d3d9,1996.0,4.0,707747.0018370263,726350.8929052162,2.0,3,10.0,3275.0,18147.0,0.0,3316.0,17799.0,0.0,0.0,3.9,2016,732382.3618895543
96fb4505-0e37-446b-a045-5d856fe74e36,1959.0,4.0,597736.9217030165,675932.4355670998,2.0,4,9.0,2960.0,12882.0,1060.0,2764.0,13000.0,0.0,2.0,20.09,2016,843817.0353802855
2ab8ff55-4f7a-4589-9457-750c4bc70102,1929.0,4.0,574729.3925746218,592196.1385002468,2.0,4,8.0,2180.0,5756.0,310.0,2091.0,5521.0,0.0,0.0,12.32,2016,706301.2139614796
884fafb2-4bb1-444a-9878-8a26e07f1183,1922.0,4.0,537641.85801898,526566.1423745239,2.0,4,8.0,2410.0,6032.0,330.0,2116.0,5817.112993788087,0.0,0.0,9.29,2016,694027.2241810005
fb67c237-f1ae-4ebd-a2ef-846f6afd65e1,1992.0,3.0,707747.0018370263,710542.1312788075,2.0,3,10.0,3000.0,14775.0,20.0,3110.0,14743.0,0.0,0.0,4.99,2016,651059.585870056
457d01e9-3f1f-479f-9c15-1510872a3e16,1952.0,3.0,537641.85801898,555956.8753889401,1.75,4,7.0,1870.0,4917.0,770.0,1777.0,4949.0,0.0,0.0,6.93,2016,585716.3160360022
519372ef-a174-4a82-a238-13d8d699d2b1,2014.0,3.0,563377.9507828665,560543.3031024137,3.0,3,8.0,1765.0,1664.0,240.0,1738.0,1936.0,0.0,0.0,14.35,2016,500410.29501273535
024a901b-0edb-4416-aae7-171c235bd2f9,1927.0,3.0,512657.41822642577,512657.41822642577,1.0,3,7.0,1415.0,4862.0,50.0,1555.0,4892.0,0.0,0.0,14.47,2016,449383.58903886995
6af84969-2aa9-4bcf-946b-e61dae07833e,1994.0,3.0,474632.3790458373,478971.53454470227,2.5,3,8.0,2130.0,9964.0,0.0,2171.0,9024.0,0.0,0.0,16.41,2016,407187.572728798
1b3606a3-2cf2-44e8-bbb3-8d461d72c266,1994.0,3.0,474632.3790458373,466107.1036441099,2.0,3,8.0,2150.0,9005.0,0.0,2146.0,9371.0,0.0,0.0,15.51,2016,399341.2990674971
608bcac1-4863-4ef7-b9eb-0a215a2265b5,1998.0,4.0,554723.8083336328,534407.1051008193,3.0,2,10.0,3510.0,11743.0,0.0,3310.0,11182.0,0.0,0.0,11.83,2016,765024.1288499333
07edff22-c408-40e9-9352-649dd93dee7b,1939.0,4.0,573737.7786048551,554152.4062330829,2.0,4,9.0,2745.0,18800.0,690.0,2662.0,11817.0,0.0,0.0,5.08,2016,884321.1870455508
d0336ebf-4433-4d77-920e-364cfb4d5628,1976.0,3.0,468060.0543995248,459641.6387834404,2.0,3,7.0,1755.0,8105.0,510.0,1754.0,7743.0,0.0,0.0,14.3,2016,429767.7623315606
306cdbeb-4be7-4e65-87e5-179d58d8bd0c,1977.0,3.0,468060.0543995248,461322.998492286,2.0,3,7.0,1865.0,9483.0,500.0,1944.0,9053.0,0.0,0.0,11.86,2016,416198.4973565122
2ef72ebb-18eb-41aa-902d-7195a4294f02,1990.0,3.0,474632.3790458373,462591.44565758924,2.5,3,9.0,2560.0,9332.0,0.0,2668.0,9547.0,0.0,0.0,17.91,2016,438699.24741299695
f72924d5-96e7-466a-9f4b-2f791e9c8161,2005.0,4.0,474632.3790458373,466107.1036441099,2.0,3,9.0,3070.0,9993.0,0.0,3028.0,7329.0,0.0,0.0,14.24,2016,538027.4255830903
22081064-7fda-4f00-a984-c9b768165856,1960.0,3.0,597736.9217030165,630990.1110472494,2.0,4,8.0,1730.0,8829.0,50.0,1846.0,8710.0,0.0,0.0,10.4,2016,513778.321798022
ac7f2fd3-a52e-4d7d-a387-7372a0e50725,1903.0,2.0,573737.7786048551,559168.8111994604,1.0,3,7.0,1350.0,3884.0,0.0,1396.0,3988.0,0.0,0.0,8.73,2016,380983.571172752
a18ea0c3-7fe7-4a62-b6e4-4c47a70b3f24,1989.0,4.0,563377.9507828665,560543.3031024137,2.5,1,9.0,2880.0,11595.0,0.0,2603.0,9736.0,0.0,0.0,13.9,2016,727452.5291863744
c7605a2b-f7e0-4fb1-8f2b-5f5402129abd,2001.0,3.0,474632.3790458373,462591.44565758924,2.0,3,8.0,2120.0,15694.0,0.0,2104.0,15032.0,0.0,0.0,17.62,2016,413841.2421264525
c39be7d0-51d8-40e5-ac66-de1e5bdd14f9,1910.0,4.0,574729.3925746218,568939.7832049628,2.0,4,7.0,2165.0,4148.0,520.0,1846.0,4323.0,0.0,0.0,9.31,2016,642419.0712451021
0cb8d640-d3c8-4aa2-8916-e789d04c823d,2006.0,3.0,474632.3790458373,481874.4106608018,2.0,3,9.0,2890.0,7781.0,0.0,2783.0,7685.0,0.0,0.0,18.92,2016,470969.647042589
c1d5dcf7-8a55-4bde-b078-5f62167406ae,1975.0,3.0,597736.9217030165,620134.8148787246,2.0,3,8.0,2165.0,9702.0,650.0,2247.0,9477.0,0.0,0.0,10.51,2016,533364.2030084172
c6c8d61e-616f-49df-8353-e0188a344ad0,1977.0,4.0,483241.3277326569,473539.8325623487,2.25,4,8.0,2130.0,11307.0,600.0,2271.0,11033.0,0.0,0.0,21.11,2016,542654.3616899236
f06c3f37-7f67-4f3a-b473-908f01594585,1991.0,4.0,483241.3277326569,492589.51065803645,2.0,2,9.0,2710.0,9160.0,0.0,2598.0,8484.0,0.0,0.0,19.89,2016,598508.1536306301
